,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
904,Anand,1971,,8.3,,31850,
905,Once Upon a Time in Anatolia,2011,82.0,7.9,82.0,43401,0.14
906,The Discreet Charm of the Bourgeoisie,1972,93.0,7.9,93.0,39730,0.2
907,Winter Sleep,2014,88.0,8.1,88.0,48099,0.17
908,Jab We Met,2007,,7.9,,48855,0.41
909,Eyes Without a Face,1960,90.0,7.7,90.0,28434,0.05
910,My Father and My Son,2005,,8.3,,81109,
911,Confessions,2010,,7.7,,36408,
912,Lifeboat,1944,78.0,7.6,78.0,26953,
913,The Magdalene Sisters,2002,83.0,7.7,83.0,26241,4.89
914,Nobody Knows,2004,88.0,8.1,88.0,25570,0.68
915,Nights of Cabiria,1957,,8.1,,44019,0.75
916,The Invisible Man,1933,87.0,7.7,87.0,31427,
917,The Passion of Joan of Arc,1928,,8.1,,49213,0.02
918,Raise the Red Lantern,1991,,8.1,,30288,2.6
919,Sleuth,1972,,8.0,,45326,4.08
920,Darbareye Elly,2009,87.0,8.0,87.0,47442,0.11
921,Au Revoir les Enfants,1987,88.0,8.0,88.0,31864,4.54
922,Il Postino,1994,81.0,7.7,81.0,34315,21.85
923,Barfi!,2012,,8.1,,77218,2.8
924,Battleship Potemkin,1925,97.0,8.0,97.0,54121,0.05
925,The Innocents,1961,88.0,7.8,88.0,27714,2.62
926,Paan Singh Tomar,2012,,8.2,,34059,0.04
927,L'Avventura,1960,,7.9,,27276,
928,Andaz Apna Apna,1994,,8.1,,50519,
929,A Wednesday,2008,,8.1,,74996,
930,In America,2002,76.0,7.7,76.0,40691,15.54
931,Celda 211,2009,,7.6,,64737,
932,Lupin the Third: Castle of Cagliostro,1979,71.0,7.7,71.0,27944,
933,To Be or Not to Be,1942,86.0,8.2,86.0,31727,
934,My Sassy Girl,2001,,8.0,,45952,
935,Airlift,2016,,8.0,,53786,
936,Interstate 60: Episodes of the Road,2002,,7.7,,30473,
937,The Past,2013,85.0,7.7,85.0,45699,1.33
938,The Visitor,2007,79.0,7.6,79.0,41833,9.42
939,Sweet Smell of Success,1957,100.0,8.0,100.0,28934,
940,White Heat,1949,,8.1,,30425,
941,Departures,2008,68.0,8.1,68.0,49371,1.5
942,The Girl Who Leapt Through Time,2006,,7.7,,61736,
943,Tokyo Godfathers,2003,73.0,7.8,73.0,32934,0.13
944,Udta Punjab,2016,,7.8,,27888,
945,Farewell My Concubine,1993,,8.1,,25765,5.22
946,The Gold Rush,1925,,8.2,,103408,5.45
947,No Man's Land,2001,84.0,7.9,84.0,45305,1.06
948,G.O.R.A.,2004,,8.0,,58549,
949,The Purple Rose of Cairo,1985,75.0,7.7,75.0,47850,10.63
950,Vivre Sa Vie,1962,,8.0,,29026,
951,Jules and Jim,1962,97.0,7.8,97.0,38551,
952,Vampire Hunter D: Bloodlust,2000,62.0,7.7,62.0,29812,0.15
953,"4 Months, 3 Weeks and 2 Days",2007,97.0,7.9,97.0,57504,1.19
954,La Strada,1954,,8.0,,59328,
955,Joint Security Area,2000,58.0,7.8,58.0,27402,
956,The Triplets of Belleville,2003,91.0,7.8,91.0,51196,7.0
957,Veer-Zaara,2004,67.0,7.8,67.0,49980,2.92
958,The General,1926,,8.1,,82891,1.03
959,Duck Soup,1933,93.0,7.8,93.0,56250,
960,The Killer,1989,82.0,7.8,82.0,46189,
961,Chak De! India,2007,68.0,8.2,68.0,75614,1.11
962,Nine Queens,2000,80.0,7.9,80.0,50507,1.22
963,Elite Squad 2: The Enemy Within,2010,71.0,8.0,71.0,80088,0.1
964,Sanjuro,1962,,8.1,,33926,
965,Love and Death,1975,89.0,7.7,89.0,36671,
966,Miracle on 34th Street,1947,88.0,7.9,88.0,42069,2.65
967,The Exterminating Angel,1962,,8.1,,30381,
968,Fireworks,1997,,7.8,,28405,0.23
969,Knockin' on Heaven's Door,1997,,7.9,,28245,0.0
970,Hiroshima Mon Amour,1959,,7.9,,29255,0.09
971,Joyeux Noel,2005,70.0,7.7,70.0,28267,1.05
972,Dev.D,2009,,8.0,,29214,0.01
973,Udaan,2010,,8.1,,43121,0.01
974,The Lost Weekend,1945,,7.9,,34228,9.46
975,The Shop Around the Corner,1940,96.0,8.1,96.0,29130,0.2
976,Raazi,2018,,7.8,,26419,
977,OMG: Oh My God!,2012,,8.1,,53241,0.92
978,La Grande Illusion,1937,,8.1,,34386,0.17
979,Kai Po Che,2013,40.0,7.8,40.0,33876,1.12
980,Bhaag Milkha Bhaag,2013,,8.2,,62470,1.63
981,Central Station,1998,80.0,8.0,80.0,37174,5.6
982,The Virgin Spring,1960,,8.1,,27275,1.53
983,Vicky Donor,2012,,7.8,,40483,0.17
984,Sherlock Jr.,1924,,8.2,,43752,0.98
985,Tae Guk Gi: The Brotherhood of War,2004,64.0,8.0,64.0,38183,1.11
986,Le Dîner de Cons,1998,73.0,7.7,73.0,38055,4.07
987,Sholay,1975,,8.2,,52378,
988,Lage Raho Munna Bhai,2006,,8.0,,43991,2.22
989,The Muppet Christmas Carol,1992,64.0,7.7,64.0,50888,27.28
990,Zelig,1983,,7.7,,40466,11.8
991,C.R.A.Z.Y.,2005,81.0,7.9,81.0,31690,
992,The Rules of the Game,1939,,8.0,,27181,
993,A Night at the Opera,1935,,7.9,,31015,2.54
994,The Edge of Heaven,2007,85.0,7.8,85.0,31114,0.74
995,The Circus,1928,90.0,8.1,90.0,30994,
996,Vizontele,2001,,8.0,,34482,
997,Black,2005,,8.2,,33755,0.73
998,The Breath,2009,,8.0,,32337,
999,English Vinglish,2012,,7.8,,34217,1.67
