,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
162,The Truman Show,1998,90.0,8.1,90.0,964788,125.62
163,Into the Wild,2007,73.0,8.1,73.0,584702,18.35
164,La La Land,2016,94.0,8.0,94.0,521808,151.1
165,Catch Me If You Can,2002,75.0,8.1,75.0,858648,164.62
166,The Pianist,2002,85.0,8.5,85.0,750639,32.57
167,The Martian,2015,80.0,8.0,80.0,777753,228.43
168,Moneyball,2011,87.0,7.6,87.0,380711,75.61
169,Oldboy,2003,77.0,8.4,77.0,528146,0.71
170,The Social Network,2010,95.0,7.7,95.0,640302,96.96
171,The Fifth Element,1997,52.0,7.7,52.0,441442,63.54
172,Kill Bill: Vol. 1,2003,69.0,8.1,69.0,1020640,70.1
173,Batman Begins,2005,70.0,8.2,70.0,1334829,206.85
174,Reservoir Dogs,1992,79.0,8.3,79.0,937307,2.83
175,The Help,2011,62.0,8.0,62.0,434559,169.71
176,The Hangover,2009,73.0,7.7,73.0,728683,277.32
177,The Lord of the Rings: The Two Towers,2002,87.0,8.7,87.0,1515208,342.55
178,Donnie Darko,2001,88.0,8.0,88.0,751347,1.48
179,Ocean's Eleven,2001,74.0,7.7,74.0,526943,183.42
180,Drive,2011,78.0,7.8,78.0,583414,35.06
181,A Star Is Born,2018,88.0,7.6,88.0,346798,215.29
182,Coco,2017,81.0,8.4,81.0,408144,209.73
183,Logan,2017,77.0,8.1,77.0,667931,226.28
184,Black Hawk Down,2001,74.0,7.7,74.0,370060,108.64
185,Rogue One: A Star Wars Story,2016,65.0,7.8,65.0,568728,532.18
186,The Incredibles,2004,90.0,8.0,90.0,668397,261.44
187,The Handmaiden,2016,84.0,8.1,84.0,121231,2.01
188,About Time,2013,55.0,7.8,55.0,314023,15.32
189,Pan's Labyrinth,2006,98.0,8.2,98.0,628513,37.63
190,Wonder,2017,66.0,8.0,66.0,147738,132.42
191,Zodiac,2007,78.0,7.7,78.0,481519,33.08
192,Mulholland Dr.,2001,85.0,7.9,85.0,328975,7.22
193,Captain America: The Winter Soldier,2014,70.0,7.7,70.0,757095,259.77
194,Full Metal Jacket,1987,76.0,8.3,76.0,687405,46.36
195,"The Good, the Bad and the Ugly",1966,90.0,8.8,90.0,701653,6.1
196,The Exorcist,1973,81.0,8.0,81.0,367579,232.91
197,Casino,1995,73.0,8.2,73.0,477087,42.44
198,Once Upon a Time in America,1984,,8.4,,318866,5.32
199,Room,2015,86.0,8.1,86.0,382735,14.68
200,Nightcrawler,2014,76.0,7.8,76.0,481191,32.38
201,Black Swan,2010,79.0,8.0,79.0,711639,106.95
202,The Intouchables,2011,57.0,8.5,57.0,780014,13.18
203,Her,2013,90.0,8.0,90.0,554801,25.57
204,Kick-Ass,2010,66.0,7.6,66.0,531718,48.07
205,Dawn of the Dead,1978,71.0,7.9,71.0,113317,5.1
206,The Game,1997,61.0,7.8,61.0,356921,48.32
207,City of God,2002,79.0,8.6,79.0,710316,7.56
208,A Beautiful Mind,2001,72.0,8.2,72.0,866067,170.74
209,Rear Window,1954,100.0,8.5,100.0,453006,36.76
210,Hidden Figures,2016,74.0,7.8,74.0,207062,169.61
211,Memories of Murder,2003,82.0,8.1,82.0,148944,0.01
212,2001: A Space Odyssey,1968,84.0,8.3,84.0,615522,56.95
213,Harry Potter and the Prisoner of Azkaban,2004,82.0,7.9,82.0,565527,249.36
214,Changeling,2008,63.0,7.7,63.0,242669,35.74
215,American History X,1998,62.0,8.5,62.0,1050800,6.72
216,Star Wars: Episode V - The Empire Strikes Back,1980,82.0,8.7,82.0,1180987,290.48
217,First Blood,1982,61.0,7.7,61.0,232502,47.21
218,Psycho,1960,97.0,8.5,97.0,616726,32.0
219,True Romance,1993,59.0,7.9,59.0,210675,12.28
220,Argo,2012,86.0,7.7,86.0,582200,136.03
221,Ratatouille,2007,96.0,8.0,96.0,655285,206.45
222,Manchester by the Sea,2016,96.0,7.8,96.0,254781,47.7
223,X-Men: First Class,2011,65.0,7.7,65.0,654240,146.41
224,Marriage Story,2019,94.0,7.9,94.0,260512,2.0
225,Back to the Future Part II,1989,57.0,7.8,57.0,491109,118.5
226,The Perks of Being a Wallflower,2012,67.0,8.0,67.0,472029,17.74
227,Dances with Wolves,1990,72.0,8.0,72.0,245787,184.21
228,Ferris Bueller's Day Off,1986,61.0,7.8,61.0,327229,70.14
229,Your Name.,2016,79.0,8.4,79.0,210390,5.02
230,"Lock, Stock and Two Smoking Barrels",1998,66.0,8.2,66.0,544825,3.9
231,The Last of the Mohicans,1992,76.0,7.7,76.0,154673,75.51
232,The Imitation Game,2014,73.0,8.0,73.0,701546,91.13
233,Star Wars: Episode VII - The Force Awakens,2015,80.0,7.8,80.0,872667,936.66
234,American Gangster,2007,76.0,7.8,76.0,399401,130.16
235,The Curious Case of Benjamin Button,2008,70.0,7.8,70.0,601731,127.51
236,Inside Out,2015,94.0,8.1,94.0,634980,356.46
237,L.A. Confidential,1997,90.0,8.2,90.0,541490,64.62
238,Willy Wonka & the Chocolate Factory,1971,67.0,7.8,67.0,182125,4.0
239,Big Hero 6,2014,74.0,7.8,74.0,419598,222.53
240,The Last Samurai,2003,55.0,7.7,55.0,406632,111.11
241,Moonrise Kingdom,2012,84.0,7.8,84.0,325549,45.51
242,Sin City,2005,74.0,8.0,74.0,743239,74.1
243,Atonement,2007,85.0,7.8,85.0,257244,50.93
244,Midnight in Paris,2011,81.0,7.7,81.0,395020,56.82
245,Life Is Beautiful,1997,59.0,8.6,59.0,638007,57.6
246,Silver Linings Playbook,2012,81.0,7.7,81.0,671610,132.09
247,Dead Poets Society,1989,79.0,8.1,79.0,438190,95.86
